,CollegeName,TotalRegistrations,State
109,SDEW - SRIDEVI WOMENS ENGINEERING COLLEGE,1,Telangana
110,NRCM - NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),1,Telangana
115,SCET - SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,1,Telangana
116,MREM - MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,1,Telangana
117,MREC - MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),1,Telangana
118,MRET - MALLAREDDY INST OF ENGG AND TECHNOLOGY,1,Telangana
119,MVSR - M V S R ENGINEERING COLLEGE (AUTONOMOUS),1,Telangana
120,NALLA MALLA REDDY ENGINEERING COLLEGE,1,Telangana
121,NALLA MALLA REDDY,1,Telangana
126,ST.PETERS ENGINEERING COLLEGE,1,Telangana
127,SPHN - SPHOORTHY ENGINEERING COLLEGE,1,Telangana
128,SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,1,Telangana
131,ST MARY'S INTEGRATED CAMPUS,1,Telangana
132,VIJAY RURAL ENGINEERING COLLEGE,1,Telangana
138,VNRVJIET,1,Telangana
139,WOXSEN UNIVERSITY,1,Telangana
102,INDIAN INSTITUTE OF TECHNOLOGY VARANASI,1,Uttar Pradesh
105,JNTS - J N T U COLLEGE OF ENGINEERING SULTANPUR,1,Uttar Pradesh
